driverId,week,hours-logged,miles-logged
540,42,62,100
156,2,65,3100
23,30,55,2800
862,21,79,300
737,5,75,0
160,12,80,3800
463,20,80,2800
211,45,61,1300
280,8,74,3600
413,44,51,900
481,50,79,2300
239,39,73,3400
799,21,59,1500
418,9,77,300
925,29,74,3200
354,11,59,1200
915,40,71,500
604,33,71,3100
87,39,52,2400
468,52,74,100
51,19,62,600
392,40,58,3100
982,22,68,900
739,7,53,0
22,15,80,1400
778,43,76,500
210,33,66,500
914,50,53,100
492,49,63,2100
701,25,75,1400
77,37,72,1500
665,8,59,2000
621,22,75,1900
644,34,61,1500
867,31,67,1300
281,7,73,800
612,16,50,600
381,45,63,800
189,13,74,2700
67,3,74,1700
786,35,78,100
305,52,80,600
654,36,66,2400
687,5,68,700
778,29,67,2200
911,22,67,3500
161,40,75,1200
956,35,56,200
739,42,58,600
987,33,65,1900
82,20,77,1200
764,40,54,3400
821,47,70,1600
551,20,65,900
975,41,58,2900
962,38,79,700
479,35,58,1800
601,9,77,2900
252,10,75,1300
538,48,54,600
543,34,61,3200
49,1,63,1800
781,30,72,400
854,4,70,1500
137,40,73,2400
336,51,53,2000
40,51,76,3100
768,39,76,2900
641,40,68,500
426,14,62,1600
424,20,79,700
128,29,60,3600
998,52,52,100
789,25,78,3100
470,44,74,3800
320,43,57,2300
415,50,62,3300
945,21,73,1400
482,9,68,1000
704,21,66,2000
184,6,57,3100
353,41,55,600
591,31,73,3500
486,47,61,1300
246,44,71,2500
648,40,79,1100
888,52,57,3100
798,15,71,2100
179,5,80,2500
608,1,64,2900
857,12,63,4000
450,12,54,2500
339,23,75,2500
37,7,63,600
282,10,63,0
410,18,80,2300
109,5,53,1600
822,8,72,2600
916,45,73,800
447,40,64,600
80,50,79,2800
214,3,64,1100
53,43,64,100
470,52,62,200
25,41,50,1900
746,3,58,1400
201,48,74,3200
33,24,62,3500
560,12,57,1700
555,4,50,1000
107,35,62,3400
587,17,72,3600
995,6,61,3300
638,36,74,2700
863,26,66,3900
741,3,73,2400
750,11,62,1200
247,18,53,2400
496,35,53,1400
709,24,70,3400
183,35,65,1300
762,44,72,900
950,32,73,3800
269,24,76,1100
331,9,56,2600
529,44,57,0
202,23,62,3400
216,19,73,2900
325,30,72,900
180,11,70,3900
926,40,80,1900
922,38,78,3200
719,3,57,900
654,32,59,500
187,50,62,3700
65,34,57,3100
217,2,66,3800
305,18,56,3600
140,17,64,800
736,46,60,1000
593,37,63,2200
392,12,67,1700
347,27,71,400
902,8,75,0
247,44,78,1400
61,13,74,3300
386,26,79,1500
863,42,52,3200
577,28,61,3200
252,50,70,3900
195,29,76,2900
476,23,57,2100
1004,3,69,4000
362,29,70,900
603,29,56,2300
860,17,52,1000
395,50,65,1300
886,24,51,3700
691,31,50,200
645,41,52,0
587,2,76,3300
394,5,73,2700
538,47,77,1100
603,38,67,2600
934,33,59,2400
894,44,51,1300
360,32,57,200
441,42,54,3900
544,26,78,2400
654,17,59,300
304,3,64,2100
923,13,54,0
840,21,59,1600
